adset_id,adset_name,budget_spend,campaign_id,campaign_name,clicks,impressions,installs,objective,revenue,status
#23843778916750538,MBL-a-FB-CH_16.10,0,#23843752073330538,MBL-a-FB-CH_7.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843778916740538,MBL-i-FB-BackupCreatives-T5_16.10,19,,,,,,,,
#23843778916730538,MBL-a-FB-JP_16.10,0,,,,,,,,
#23843778916720538,MBL-i-FB-Scan-BackupCreatives_16.10,0,,,,,,,,
#23843778916710538,MBL-i-FB-BENELUX-BackupCreatives_16.10,4,,,,,,,,
#23843778916700538,MBL-a-FB-BackupCreatives-T7_16.10,0,#23843703431960538,MBL-a-FB-T7,0,0,0,APP_INSTALLS,0,ACTIVE
#23843778916690538,MBL-a-FB-BackupCreatives-T4_16.10,3,,,,,,,,
#23843778916680538,MBL-i-FB-BR-BPC-16.10,0,,,,,,,,
#23843778916670538,MBL-i-FB-BackupCreatives-T4_16.10,7,,,,,,,,
#23843778916660538,MBL-a-FB-BackupCreatives-T6_16.10,0,,,,,,,,
#23843778916650538,MBL-i-FB-EU-T2-BackupCreatives_16.10,3,,,,,,,,
#23843778916640538,MBL-i-FB-DACH-BPC-US_16.10,0,,,,,,,,
#23843778916630538,MBL-i-FB-BackupCreatives-T6_16.10,14,,,,,,,,
#23843776596620538,MBL-i-fb-CT 4x5-20191015-A-set1_bestperfiteration-3,0,#23843772734760538,MBL-i-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,ACTIVE
#23843776595940538,FB-MBL-a-CT 4x5-20191015-A-set1_bestperfiteration-3,0,#23843772734790538,MBL-a-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,PAUSED
#23843776265110538,MBL-i-fb-CT 4x5-20191015-A-set1_bestperfiteration-2,0,#23843772734760538,MBL-i-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,ACTIVE
#23843776264350538,FB-MBL-a-CT 4x5-20191015-A-set1_bestperfiteration-2,0,#23843772734790538,MBL-a-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,PAUSED
#23843776240810538,MBL-i-fb-CT 4x5-20191015-A-set1_bestperfiteration-1,0,#23843772734760538,MBL-i-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,ACTIVE
#23843776240660538,FB-MBL-a-CT 4x5-20191015-A-set1_bestperfiteration-1,0,#23843772734790538,MBL-a-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,PAUSED
#23843775905160538,MBL-i-fb-CT 9x16-20191015-A-set1_bestperfiteration-3,0,#23843772734760538,MBL-i-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,ACTIVE
#23843775905080538,FB-MBL-a-CT 9x16-20191015-A-set1_bestperfiteration-3,0,#23843772734790538,MBL-a-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,PAUSED
#23843775889640538,MBL-i-fb-CT 9x16-20191015-A-set1_bestperfiteration-2,0,#23843772734760538,MBL-i-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,ACTIVE
#23843775889130538,FB-MBL-a-CT 9x16-20191015-A-set1_bestperfiteration-2,0,#23843772734790538,MBL-a-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,PAUSED
#23843775874950538,MBL-i-fb-CT 9x16-20191015-A-set1_bestperfiteration-1,0,#23843772734760538,MBL-i-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,ACTIVE
#23843775874840538,FB-MBL-a-CT 9x16-20191015-A-set1_bestperfiteration-1,0,#23843772734790538,MBL-a-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,PAUSED
#23843775741120538,MBL-i-fb-CT 9x16-20191015-M-toxic-1,0,#23843772734760538,MBL-i-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,ACTIVE
#23843775740040538,FB-MBL-a-CT 9x16-20191015-M-toxic-1,0,#23843772734790538,MBL-a-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,PAUSED
#23843775735470538,MBL-i-fb-CT 4x5-20191015-M-toxic-1,0,#23843772734760538,MBL-i-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,ACTIVE
#23843775729470538,FB-MBL-a-CT 4x5-20191015-M-toxic-1,0,#23843772734790538,MBL-a-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,PAUSED
#23843772735770538,MBL-i-fb-CT 16x9-20191014-R-phonesmash-1,0,#23843772734760538,MBL-i-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,ACTIVE
#23843772735320538,FB-MBL-a-CT 16x9-20191014-R-phonesmash-1,0,#23843772734790538,MBL-a-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,PAUSED
#23843772734960538,FB-MBL-a-CT 9x16-20191014-R-phonesmash-1,0,#23843772734790538,MBL-a-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,PAUSED
